"application_id","gender","age_group","ethnicity","postcode","annual_income","credit_score","employment_years","debt_to_income_ratio","loan_amount","loan_purpose","previous_defaults","education_level","marital_status","occupation_category","loan_approved"
525,"Male","26-35","Caucasian","Urban_Center",75833,520,8,0.67,34715,"Business",0,"Master","Married","Manual","NO"
526,"Male","65+","Caucasian","Urban_Center",124831,762,14,0.28,91794,"Business",0,"Master","Divorced","Professional","NO"
527,"Male","26-35","Caucasian","Urban_Center",95810,739,38,0.24,89234,"Car",0,"Bachelor","Single","Unemployed","YES"
528,"Female","36-50","Asian","Rural",84608,760,28,0.79,69574,"Education",0,"Bachelor","Single","Service","NO"
529,"Non-binary","26-35","African_American","Suburban",52620,523,1,0.3,52045,"Home",0,"High_School","Married","Professional","YES"
530,"Female","65+","Caucasian","Urban_Center",71497,686,4,0.43,39960,"Education",0,"PhD","Married","Professional","NO"
531,"Male","18-25","African_American","Urban_Center",61833,600,24,0.7,65001,"Car",0,"Master","Single","Professional","NO"
532,"Male","26-35","African_American","Urban_Center",25297,475,32,0.16,41225,"Home",1,"High_School","Single","Service","YES"
533,"Female","51-65","African_American","Low_Income_Area",60197,560,21,0.55,50128,"Car",0,"High_School","Single","Professional","NO"
534,"Male","26-35","Asian","Urban_Center",58669,546,39,0.23,34907,"Home",0,"Bachelor","Single","Professional","NO"
535,"Female","65+","Caucasian","Suburban",63207,814,27,0.25,88687,"Home",0,"Master","Divorced","Professional","YES"
536,"Male","36-50","Caucasian","Rural",54360,579,6,0.23,50584,"Business",0,"PhD","Single","Professional","YES"
537,"Female","26-35","Caucasian","Suburban",78037,740,32,0.24,63387,"Business",0,"Bachelor","Divorced","Manual","YES"
538,"Male","18-25","Caucasian","Rural",103372,711,19,0.19,55235,"Home",1,"Bachelor","Married","Professional","YES"
539,"Male","18-25","African_American","Suburban",88113,571,3,0.25,43572,"Car",0,"Bachelor","Married","Professional","NO"
540,"Female","65+","African_American","Suburban",78204,704,3,0.11,51506,"Home",0,"Bachelor","Widowed","Manual","NO"
541,"Male","18-25","Caucasian","Suburban",66101,706,32,0.54,81589,"Car",0,"Master","Married","Professional","YES"
542,"Female",NA,"Caucasian","Rural",66515,535,40,0.45,25940,"Education",1,"Master","Married","Professional","YES"
543,"Male","51-65","Caucasian","Suburban",88150,723,26,0.64,83612,"Home",0,"High_School","Single","Manual","YES"
544,"Female","18-25","Caucasian","Rural",90633,649,29,0.25,16922,"Home",1,"PhD","Single","Manual","NO"
545,"Male","51-65","Hispanic","Suburban",53161,626,19,0.17,70750,"Education",1,"Bachelor","Divorced","Service","YES"
546,"Non-binary","65+","African_American","Suburban",83996,561,28,0.31,15506,"Home",0,"Master","Single","Service","NO"
547,"Female","26-35","Caucasian","Suburban",41338,633,13,0.61,93859,"Car",0,"Bachelor","Divorced","Manual","NO"
548,"Male","65+","Caucasian","Urban_Center",41147,542,14,0.5,63382,"Car",0,"Master","Single","Unemployed","YES"
549,"Male","26-35","Asian","Suburban",96916,648,26,0.56,37450,"Business",0,"PhD","Single","Professional","YES"
550,"Female","36-50","Caucasian","Rural",65739,637,34,0.44,35106,"Education",0,"PhD","Married","Unemployed","NO"
551,"Female",NA,"Caucasian","Urban_Center",65676,625,9,0.51,45160,"Car",0,"Bachelor","Single","Professional","NO"
552,"Female","36-50","Hispanic","Rural",84580,761,34,0.61,51952,"Business",0,"High_School","Married","Manual","YES"
553,"Male","26-35","Caucasian","Rural",61067,588,26,0.51,36363,"Car",0,"Master","Single","Manual","YES"
554,"Male","26-35","Caucasian","Rural",48067,637,6,0.57,93368,"Business",0,"Bachelor","Divorced","Manual","YES"
555,"Male","18-25","Caucasian","Suburban",67767,736,20,0.28,82794,"Car",0,"High_School","Married","Professional","NO"
556,"Male","51-65","Caucasian","Urban_Center",30827,782,23,0.7,61397,"Education",1,"Bachelor","Married","Professional","YES"
557,"Male","26-35","African_American","Suburban",55551,640,2,0.11,51172,"Home",0,"Master","Married","Professional","YES"
558,"Male","36-50","African_American","Suburban",61865,657,11,0.52,18324,"Car",0,"PhD","Married","Professional","NO"
559,"Male","26-35","Caucasian","Suburban",36149,760,38,0.28,43520,"Personal",0,"Bachelor","Married","Service","YES"
560,"Female","36-50","Caucasian","Suburban",68695,682,30,0.45,95198,"Education",0,"Bachelor","Married","Service","NO"
561,"Female","26-35","Caucasian","Suburban",50345,683,39,0.15,5136,"Personal",0,"PhD","Single","Service","YES"
562,"Male","18-25","Caucasian","Suburban",87282,624,28,0.59,79160,"Personal",0,"Bachelor","Married","Professional","YES"
563,"Male","26-35","Caucasian","Suburban",59379,660,34,0.47,57439,"Home",0,"Bachelor","Single","Unemployed","YES"
564,"Female","26-35","Caucasian","Suburban",43180,651,6,0.41,22601,"Education",2,"High_School","Married","Professional","NO"
565,"Male","26-35","Caucasian","Suburban",69784,708,14,0.13,46569,"Education",1,"High_School","Divorced","Unemployed","YES"
566,"Male","18-25","Asian","Suburban",63936,635,20,0.71,32386,"Business",0,"Master","Single","Service","YES"
567,"Female","36-50","Caucasian","Suburban",65806,619,11,0.52,99726,"Education",0,"High_School","Married","Professional","YES"
568,"Male","26-35","Other","Urban_Center",69309,643,28,0.35,48534,"Car",0,"Master","Married","Professional","YES"
569,"Male","36-50","African_American","Suburban",57120,604,34,0.79,17346,"Car",0,"High_School","Single","Professional","NO"
570,"Male","18-25","Hispanic","Rural",58468,805,16,0.79,86267,"Business",1,"Bachelor","Married","Professional","NO"
571,"Male","26-35","Caucasian","Low_Income_Area",77960,544,33,0.72,80413,"Education",0,"Bachelor","Married","Professional","YES"
572,"Male","26-35","Asian","Urban_Center",97535,771,2,0.55,12062,"Personal",1,"Master","Married","Professional","YES"
573,"Male","26-35","Hispanic","Low_Income_Area",26486,649,35,0.69,73006,"Education",0,"Master","Married","Service","NO"
574,"Female","26-35","Caucasian","Rural",62286,448,19,0.27,96706,"Car",0,"PhD","Divorced","Unemployed","NO"
575,"Male","36-50","African_American","Low_Income_Area",84594,596,16,0.39,51620,"Car",0,"High_School","Widowed","Manual","YES"
576,"Male","36-50","Asian","Suburban",41416,766,20,0.58,24180,"Home",2,"PhD","Married","Professional","YES"
577,"Female","36-50","African_American","Rural",88336,521,35,0.28,67607,"Car",0,"Bachelor","Married","Unemployed","NO"
578,"Female","36-50","African_American","Urban_Center",57415,663,34,0.2,39057,"Education",1,"High_School","Married","Unemployed","NO"
579,"Male","26-35","African_American","Urban_Center",79155,527,39,0.15,81908,"Education",0,"High_School","Single","Unemployed","YES"
580,"Female","18-25","Caucasian","Urban_Center",94475,658,6,0.43,82692,"Business",0,"PhD","Married","Manual","YES"
581,"Male","51-65","Caucasian","Suburban",82972,752,23,0.61,44748,"Education",0,"PhD","Single","Professional","NO"
582,"Male","36-50","Caucasian","Suburban",89286,629,34,0.76,23665,"Personal",0,"Master","Single","Manual","NO"
583,"Male","65+","Caucasian","Suburban",25000,746,23,0.65,30376,"Home",1,"High_School","Divorced","Manual","YES"
584,"Female","36-50","Other","Urban_Center",39533,723,23,0.74,51193,"Home",0,"Master","Married","Service","NO"
585,"Male","26-35","Asian","Suburban",76629,771,21,0.66,30569,"Personal",0,"High_School","Married","Manual","YES"
586,"Female","51-65","African_American","Suburban",46784,783,37,0.2,25499,"Business",1,"High_School","Married","Service","NO"
587,"Female",NA,"Caucasian","Rural",53963,750,5,0.28,6362,"Car",0,"Bachelor","Married","Unemployed","YES"
588,"Male","18-25","Caucasian","Urban_Center",92684,689,30,0.39,65416,"Education",0,"Bachelor","Single","Professional","NO"
589,"Non-binary","26-35","African_American","Rural",67330,656,5,0.35,43678,"Business",0,"PhD","Single","Unemployed","NO"
590,"Male","26-35","Hispanic","Urban_Center",65906,664,19,0.72,88714,"Personal",1,"Bachelor","Married","Unemployed","NO"
591,"Male","26-35","Caucasian","Rural",60088,686,11,0.15,51983,"Home",1,"Bachelor","Divorced","Manual","YES"
592,"Female","18-25","Caucasian","Urban_Center",33042,560,1,0.55,50123,"Business",0,"Master","Single","Service","NO"
593,"Non-binary","51-65","African_American","Urban_Center",27389,591,27,0.44,91656,"Car",0,"Master","Single","Professional","NO"
594,"Female","36-50","Hispanic","Urban_Center",60645,600,2,0.1,50965,"Education",1,"Master","Married","Professional","YES"
595,"Female","36-50","Caucasian","Suburban",72095,598,24,0.22,71679,"Education",0,"Bachelor","Married","Manual","YES"
596,"Male","18-25",NA,"Urban_Center",38621,622,28,0.15,64062,"Home",0,"Bachelor","Married","Manual","NO"
597,"Male","26-35","Caucasian","Urban_Center",28844,644,36,0.16,81752,"Education",0,"Bachelor","Married","Professional","YES"
598,"Female","18-25","Caucasian","Suburban",90510,571,28,0.64,77098,"Education",1,"Master","Married","Professional","NO"
599,"Male","18-25","Caucasian","Urban_Center",75140,427,7,0.19,17057,"Education",1,"PhD","Single","Service","YES"
600,"Female","36-50","Caucasian","Suburban",74642,850,26,0.17,57733,"Car",0,"Master","Divorced","Professional","YES"
601,"Female","36-50","Caucasian","Suburban",83342,568,18,0.42,70950,"Education",0,"Bachelor","Single","Unemployed","YES"
602,"Male","51-65",NA,"Rural",76095,752,25,0.29,74593,"Car",0,"Bachelor","Married","Unemployed","YES"
603,"Female","26-35","Caucasian","Low_Income_Area",43890,588,13,0.51,24730,"Home",2,"Bachelor","Divorced","Professional","NO"
604,"Female","18-25","Caucasian","Urban_Center",90003,700,20,0.24,27800,"Car",0,"Master","Divorced","Professional","YES"
605,"Female","36-50","Caucasian","Rural",39453,636,23,0.67,62806,"Business",0,"Master","Single","Service","YES"
606,"Male","36-50","Caucasian","Low_Income_Area",55428,710,4,0.76,50311,"Education",0,"High_School","Married","Manual","YES"
607,"Female","51-65","African_American","Urban_Center",71672,465,29,0.12,95515,"Car",1,"High_School","Married","Professional","NO"
608,"Male","36-50","African_American","Rural",70620,674,13,0.26,78252,"Car",0,"High_School","Married","Professional","YES"
609,"Female","51-65","Caucasian","Suburban",76787,635,38,0.76,13975,"Education",0,"High_School","Divorced","Professional","NO"
610,"Female","26-35","Caucasian","Urban_Center",82532,789,16,0.61,80406,"Home",0,"High_School","Single","Service","NO"
611,"Male","51-65","Asian","Suburban",48807,617,38,0.23,51844,"Home",0,"High_School","Divorced","Manual","YES"
612,"Female","26-35","Caucasian","Suburban",39251,611,28,0.19,58272,"Car",0,"Bachelor","Single","Professional","NO"
613,"Female","36-50","Other","Rural",41645,466,39,0.54,49619,"Car",0,"Bachelor","Married","Professional","YES"
614,"Non-binary","26-35","African_American","Urban_Center",76490,666,33,0.41,66516,"Personal",0,"High_School","Married","Manual","NO"
615,"Male","26-35","Asian","Urban_Center",55745,712,29,0.69,74496,"Car",0,"Master","Single","Service","NO"
616,"Male","51-65","Hispanic","Suburban",73258,627,14,0.4,75307,"Personal",0,"Bachelor","Married","Manual","YES"
617,"Male","36-50","Caucasian","Urban_Center",88660,592,39,0.23,98016,"Car",0,"Master","Married","Manual","YES"
618,"Male","51-65","Caucasian","Low_Income_Area",51565,686,11,0.68,73669,"Car",0,"PhD","Married","Professional","NO"
619,"Non-binary","26-35","Caucasian","Rural",83494,530,5,0.22,6312,"Business",0,"Master","Widowed","Manual","YES"
620,"Female","65+","Asian","Low_Income_Area",52102,681,1,0.16,40687,"Business",0,"Master","Married","Manual","NO"
621,"Male","65+","Caucasian","Urban_Center",77336,751,22,0.51,88440,"Car",0,"Bachelor","Married","Professional","NO"
622,"Male","36-50","Caucasian","Rural",65681,634,29,0.49,90338,"Business",0,"Master","Single","Unemployed","NO"
623,"Male","26-35","Hispanic","Suburban",47991,611,37,0.18,27732,"Personal",0,"Bachelor","Married","Unemployed","NO"
624,"Female","51-65","Hispanic","Suburban",83957,615,7,0.56,26247,"Car",0,"Master","Married","Professional","YES"
625,"Female","18-25","Hispanic","Suburban",79452,699,15,0.34,55771,"Car",0,"High_School","Single","Professional","NO"
626,"Female","26-35","Caucasian","Urban_Center",47628,523,9,0.48,27816,"Business",1,"Bachelor","Married","Service","YES"
627,"Female","36-50","Caucasian","Rural",65754,566,27,0.22,86789,"Car",1,"High_School","Single","Unemployed","NO"
628,"Male","36-50","Asian","Suburban",115448,501,3,0.69,87465,"Home",0,"Master","Divorced","Service","YES"
629,"Female","26-35","Caucasian","Suburban",49963,623,31,0.52,94008,"Home",0,"Bachelor","Single","Manual","YES"
630,"Female",NA,"Hispanic","Urban_Center",61666,646,28,0.16,64957,"Car",0,"High_School","Married","Unemployed","YES"
631,"Male","51-65","Caucasian","Rural",93058,659,17,0.63,93255,"Education",0,"Bachelor","Married","Service","YES"
632,"Male","51-65","Caucasian","Urban_Center",42726,633,2,0.5,55081,"Car",0,"Bachelor","Married","Professional","YES"
633,"Female","36-50","African_American","Suburban",112608,467,36,0.7,96335,"Business",1,"Master","Married","Unemployed","NO"
634,"Male","26-35","Caucasian","Urban_Center",51654,522,1,0.35,39661,"Home",1,"PhD","Single","Manual","YES"
635,"Female","36-50","Hispanic","Suburban",54571,620,28,0.36,6773,"Education",1,"Bachelor","Single","Professional","NO"
636,"Female","36-50","Hispanic","Rural",64229,678,15,0.46,82685,"Home",0,"Bachelor","Married","Professional","NO"
637,"Non-binary","18-25","Hispanic","Urban_Center",86494,669,9,0.43,32588,"Home",1,"High_School","Single","Professional","YES"
638,"Male","51-65","Caucasian","Low_Income_Area",129711,545,1,0.22,59885,"Home",0,"PhD","Married","Professional","YES"
639,"Male","51-65","Caucasian","Rural",74666,752,35,0.43,40761,"Home",0,"Master","Single","Manual","YES"
640,"Female","26-35","African_American","Urban_Center",77392,655,34,0.2,27606,"Home",0,"Bachelor","Married","Professional","YES"
641,"Male","36-50","Caucasian","Suburban",37529,615,4,0.44,73126,"Car",1,"Master","Married","Service","YES"
642,"Male","65+","Caucasian","Rural",67825,677,40,0.26,10555,"Car",0,"Bachelor","Married","Professional","YES"
643,"Male","36-50","Caucasian","Suburban",25000,735,33,0.39,21927,"Home",1,"Bachelor","Married","Manual","YES"
644,"Female","36-50","African_American","Suburban",59835,710,12,0.72,96465,"Business",1,"Master","Divorced","Professional","NO"
645,"Female","65+","African_American","Suburban",94229,610,8,0.26,35802,"Home",0,"Bachelor","Single","Professional","NO"
646,"Male","18-25","Caucasian","Suburban",61039,532,39,0.37,23865,"Car",1,"PhD","Single","Professional","NO"
647,"Male","65+","Hispanic","Urban_Center",63847,736,29,0.5,51462,"Business",0,"Bachelor","Married","Professional","NO"
648,"Female","36-50","Hispanic","Rural",65781,545,1,0.24,5562,"Car",0,"Bachelor","Single","Manual","YES"
649,"Female","51-65","African_American","Suburban",62525,581,27,0.29,8232,"Education",1,"High_School","Divorced","Service","NO"
650,"Male","36-50","Other","Low_Income_Area",67001,765,16,0.13,6798,"Education",0,"Bachelor","Single","Manual","YES"
651,"Male","18-25","Caucasian","Urban_Center",34775,597,35,0.44,66706,"Personal",1,"Bachelor","Married","Professional","YES"
652,"Male","18-25","Caucasian","Rural",55383,624,3,0.79,94659,"Business",0,"Bachelor","Single","Professional","NO"
653,"Female","18-25","Asian","Low_Income_Area",58168,697,26,0.43,50521,"Education",0,"PhD","Widowed","Service","NO"
654,"Male","36-50","Hispanic","Urban_Center",76395,784,31,0.5,57597,"Personal",1,"Master","Divorced","Unemployed","YES"
655,"Male","36-50","Caucasian","Suburban",69148,552,32,0.17,84732,"Car",0,"Master","Widowed","Professional","YES"
656,"Male","51-65","Caucasian","Rural",49828,724,8,0.12,84657,"Business",0,"Bachelor","Divorced","Professional","YES"
657,"Male","26-35","Other","Rural",81980,647,10,0.71,18996,"Home",1,"Master","Divorced","Service","YES"
658,"Female","51-65","Caucasian","Rural",89532,792,32,0.51,6162,"Home",1,"Bachelor","Divorced","Manual","NO"
659,"Male","36-50","African_American","Urban_Center",39412,746,19,0.5,49563,"Business",0,"Bachelor","Divorced","Service","NO"
660,"Female","51-65","Caucasian","Rural",68680,645,15,0.47,34663,"Home",1,"Bachelor","Married","Professional","YES"
661,"Male","36-50","Asian","Urban_Center",50019,575,34,0.35,87691,"Home",0,"High_School","Married","Service","YES"
662,"Male","36-50","African_American","Suburban",52837,520,38,0.5,17509,"Business",0,"High_School","Married","Service","NO"
663,"Female","51-65","African_American","Suburban",73397,549,8,0.59,8120,"Personal",0,"PhD","Married","Professional","NO"
664,"Male","36-50","Caucasian","Urban_Center",81837,606,35,0.3,68343,"Car",0,"High_School","Married","Manual","YES"
665,"Female","26-35","Caucasian","Urban_Center",72603,529,6,0.2,78538,"Personal",0,"Master","Married","Professional","YES"
666,"Female","51-65","Caucasian","Suburban",54303,636,35,0.65,24325,"Car",1,"Master","Single","Manual","NO"
667,"Male","26-35","Caucasian","Low_Income_Area",87594,596,17,0.78,49351,"Home",0,"Bachelor","Single","Professional","NO"
668,"Female","26-35","Hispanic","Suburban",85638,848,33,0.44,84187,"Business",0,"High_School","Single","Service","YES"
669,"Male","26-35","Caucasian","Low_Income_Area",45212,760,18,0.58,14073,"Home",0,"PhD","Married","Service","YES"
670,"Female","36-50","African_American","Suburban",71263,701,32,0.53,20493,"Personal",0,"Bachelor","Married","Manual","NO"
671,"Female","36-50","Caucasian","Suburban",41807,594,20,0.37,26919,"Business",0,"Bachelor","Single","Manual","YES"
672,"Male","36-50","Caucasian","Urban_Center",94335,850,25,0.14,53410,"Car",0,"PhD","Married","Unemployed","YES"
673,"Female","18-25","African_American","Rural",70401,622,40,0.71,22566,"Car",0,"Bachelor","Single","Service","NO"
674,"Female","36-50","Caucasian","Suburban",86343,646,22,0.37,68454,"Education",0,"Bachelor","Married","Manual","YES"
675,"Female","36-50","Caucasian","Suburban",72763,457,3,0.5,60935,"Business",1,"Bachelor","Divorced","Professional","YES"
676,"Male","36-50","Caucasian","Rural",62835,759,35,0.33,19520,"Business",0,"PhD","Married","Professional","NO"
677,"Male","26-35","Caucasian","Urban_Center",80010,645,7,0.29,94590,"Business",0,"Bachelor","Widowed","Professional","YES"
678,"Female","18-25","African_American","Rural",42934,548,35,0.17,27262,"Personal",0,"Master","Single","Manual","NO"
679,"Female","26-35","Caucasian","Urban_Center",36346,649,8,0.16,61475,"Car",0,"Bachelor","Divorced","Unemployed","NO"
680,"Female","26-35","Caucasian","Suburban",52377,758,31,0.23,48829,"Personal",2,"Bachelor","Married","Manual","NO"
681,"Male","26-35","Caucasian","Urban_Center",70272,658,37,0.44,33019,"Home",0,"High_School","Single","Manual","YES"
682,"Male","26-35","Caucasian","Suburban",56726,680,33,0.41,87354,"Business",0,"High_School","Married","Unemployed","YES"
683,"Male","65+","Caucasian","Rural",55698,756,36,0.61,40847,"Business",0,"Master","Married","Professional","YES"
684,"Male","65+","African_American","Urban_Center",83417,558,27,0.38,39213,"Car",0,"Bachelor","Single","Manual","NO"
685,"Non-binary","36-50","Caucasian","Rural",54956,625,7,0.54,69593,"Home",1,"Bachelor","Married","Manual","NO"
686,"Male","51-65","Other","Urban_Center",84489,719,2,0.46,35789,"Home",0,"Master","Married","Service","YES"
687,"Male","36-50","Hispanic","Urban_Center",49541,510,6,0.16,55673,"Business",1,"Bachelor","Widowed","Manual","NO"
688,"Female","65+","Asian","Urban_Center",59870,770,13,0.72,6234,"Car",0,"PhD","Married","Service","NO"
689,"Female","36-50","Caucasian","Urban_Center",48474,542,15,0.56,73809,"Business",0,"High_School","Married","Professional","YES"
690,"Female","65+","Caucasian","Suburban",56476,677,10,0.43,80658,"Personal",0,"Master","Married","Professional","YES"
691,"Female","36-50","Caucasian","Urban_Center",41766,668,1,0.3,57414,"Home",0,"Bachelor","Single","Service","YES"
692,"Male","26-35","Caucasian","Suburban",73940,591,30,0.5,17664,"Education",0,"Bachelor","Married","Manual","YES"
693,"Male","36-50","Caucasian","Urban_Center",88646,672,28,0.45,53988,"Home",0,"Bachelor","Married","Manual","YES"
694,"Female","51-65","Caucasian","Rural",70667,631,1,0.33,82340,"Car",1,"High_School","Married","Professional","NO"
695,"Female","51-65",NA,"Urban_Center",99245,739,19,0.73,16743,"Home",0,"High_School","Married","Professional","YES"
696,"Male","65+","African_American","Rural",32198,515,28,0.47,71470,"Education",0,"Master","Married","Service","NO"
697,"Female","36-50","Caucasian","Rural",49969,780,2,0.54,16543,"Personal",0,"Master","Widowed","Professional","YES"
698,"Female","18-25","Caucasian","Urban_Center",75493,625,29,0.53,66980,"Home",1,"PhD","Divorced","Service","NO"
699,"Female","51-65","Caucasian","Rural",77668,576,16,0.59,20391,"Car",0,"High_School","Married","Service","YES"
700,"Female","65+","Caucasian","Low_Income_Area",71540,544,30,0.33,5185,"Business",1,"High_School","Married","Service","NO"
701,"Male","26-35","Caucasian","Rural",99914,758,19,0.24,50618,"Car",0,"Bachelor","Divorced","Manual","YES"
702,"Female","51-65","Hispanic","Low_Income_Area",98508,496,2,0.28,11025,"Education",0,"High_School","Single","Unemployed","NO"
703,"Female","36-50","Hispanic","Rural",35814,664,32,0.51,49172,"Car",0,"High_School","Single","Professional","NO"
704,"Male","51-65","Caucasian","Suburban",56652,590,34,0.47,44556,"Home",0,"Master","Divorced","Professional","NO"
705,"Female","36-50","Caucasian","Rural",36319,573,19,0.15,98427,"Home",0,"Master","Married","Professional","YES"
706,"Male","65+","African_American","Rural",44385,634,1,0.35,84915,"Home",0,"Bachelor","Married","Service","NO"
707,"Male","18-25","Caucasian","Urban_Center",69965,656,10,0.66,88947,"Personal",1,"High_School","Married","Manual","NO"
708,"Female","18-25","African_American","Rural",72028,613,5,0.45,72692,"Education",0,"High_School","Married","Service","NO"
709,"Female","18-25","Asian","Suburban",49391,575,10,0.26,88711,"Business",0,"Bachelor","Married","Unemployed","NO"
710,"Female","26-35","Other","Urban_Center",71032,723,10,0.36,50540,"Education",0,"Master","Divorced","Manual","NO"
711,"Male","65+","African_American","Suburban",50443,716,36,0.18,77105,"Education",0,"PhD","Single","Service","YES"
712,"Male","26-35","Caucasian","Urban_Center",69988,815,6,0.35,72119,"Car",0,"Master","Single","Manual","YES"
713,"Male","26-35","Hispanic","Suburban",67263,551,15,0.24,41125,"Home",0,"Master","Single","Manual","YES"
714,"Male","26-35","Caucasian","Low_Income_Area",59320,549,10,0.43,66192,"Car",0,"High_School","Single","Service","NO"
715,"Female","36-50","Caucasian","Suburban",45798,568,25,0.62,67247,"Personal",0,"Bachelor","Married","Service","NO"
716,"Female","65+","Caucasian","Rural",55693,535,28,0.43,52299,"Home",0,"Bachelor","Married","Service","NO"
717,"Female","36-50","Caucasian","Suburban",74823,848,26,0.5,49374,"Education",0,"Bachelor","Married","Service","YES"
718,"Female","36-50","Caucasian","Urban_Center",55116,399,3,0.62,31919,"Car",0,"Master","Single","Service","NO"
719,"Non-binary","51-65","Caucasian","Urban_Center",58490,509,27,0.11,22030,"Education",0,"High_School","Married","Service","YES"
720,"Female","51-65","Hispanic","Rural",43605,574,17,0.19,16543,"Home",2,"High_School","Married","Professional","NO"
721,"Female","65+","African_American","Suburban",56318,626,3,0.11,64520,"Business",0,"High_School","Single","Manual","NO"
722,"Male","36-50","Caucasian","Suburban",64503,635,15,0.13,9919,"Car",1,"Bachelor","Divorced","Manual","YES"
723,"Male","26-35","Hispanic","Suburban",50418,751,30,0.34,24284,"Car",0,"High_School","Single","Unemployed","NO"
724,"Male","65+","Caucasian","Rural",57346,778,28,0.66,64606,"Business",0,"High_School","Married","Service","NO"
725,"Male","18-25","Asian","Urban_Center",42986,546,35,0.23,99155,"Education",0,"Master","Divorced","Service","NO"
726,"Male","65+","Hispanic","Rural",79983,673,5,0.23,26179,"Business",0,"Master","Single","Service","YES"
727,"Male","18-25","Caucasian","Urban_Center",109196,481,39,0.46,41282,"Car",0,"Master","Married","Manual","YES"
728,"Male","36-50","Caucasian","Low_Income_Area",56495,739,33,0.74,86893,"Personal",0,"Master","Married","Professional","YES"
729,"Male","36-50","Caucasian","Suburban",74333,563,4,0.3,51487,"Business",0,"Bachelor","Married","Manual","NO"
730,"Female","36-50","Asian","Suburban",96639,694,30,0.16,55521,"Home",0,"Master","Single","Professional","YES"
731,"Female","26-35","Caucasian","Rural",57311,551,5,0.33,16049,"Education",1,"High_School","Single","Professional","NO"
732,"Male","18-25","Asian","Suburban",57217,652,7,0.12,49662,"Education",1,"Bachelor","Married","Professional","YES"
733,"Male","65+","Other","Suburban",77946,649,27,0.53,14219,"Education",0,"Bachelor","Married","Manual","YES"
734,"Male","26-35","Caucasian","Suburban",45953,543,1,0.27,41860,"Car",0,"Master","Married","Manual","YES"
735,"Female","18-25","Caucasian","Urban_Center",61537,688,12,0.62,75972,"Business",0,"Bachelor","Widowed","Service","NO"
736,"Female","26-35","African_American","Rural",53937,850,6,0.24,45402,"Car",0,"High_School","Divorced","Service","YES"
737,"Male","51-65","Asian","Low_Income_Area",45643,652,36,0.34,71372,"Car",0,"Bachelor","Married","Manual","YES"
738,"Non-binary","18-25","Other","Urban_Center",73414,608,15,0.17,15109,"Car",1,"Bachelor","Single","Service","NO"
739,"Female","51-65","Caucasian","Suburban",62224,598,3,0.57,90711,"Education",0,"High_School","Married","Service","YES"
740,"Female","18-25","African_American","Suburban",108391,614,17,0.17,97559,"Car",1,"High_School","Married","Professional","NO"
741,"Non-binary","26-35","Caucasian","Urban_Center",25000,667,26,0.12,24085,"Business",1,"Master","Single","Professional","NO"
742,"Female","36-50","Caucasian","Suburban",77906,563,37,0.29,68101,"Car",0,"Bachelor","Single","Manual","YES"
743,"Female","36-50","Caucasian","Suburban",48574,802,26,0.26,33679,"Education",2,"Master","Divorced","Professional","NO"
744,"Male","36-50","African_American","Urban_Center",59275,710,8,0.76,54205,"Home",1,"High_School","Divorced","Manual","YES"
745,"Female","65+","Caucasian","Urban_Center",43224,742,32,0.53,99077,"Home",0,"PhD","Married","Professional","NO"
746,"Male","18-25","African_American","Suburban",76568,788,30,0.22,87419,"Education",0,"High_School","Single","Service","NO"
747,"Male","36-50","Asian","Rural",92108,541,33,0.35,80521,"Home",0,"Bachelor","Married","Service","YES"
748,"Female","36-50","Caucasian","Suburban",74782,556,23,0.56,42442,"Education",1,"High_School","Married","Professional","NO"
749,"Male","36-50","African_American","Suburban",46763,683,22,0.62,53723,"Home",0,"Master","Married","Professional","NO"
750,"Male","26-35","African_American","Suburban",97290,602,14,0.22,67903,"Car",0,"High_School","Married","Manual","YES"
751,"Female","51-65","African_American","Suburban",61725,701,2,0.19,36287,"Business",0,"High_School","Married","Manual","NO"
752,"Female","36-50","Asian","Suburban",68575,643,10,0.38,22272,"Personal",0,"PhD","Married","Service","YES"
753,"Female","36-50","Hispanic","Rural",64015,721,25,0.65,34061,"Education",0,"Master","Married","Manual","YES"
754,"Female","51-65","Asian","Urban_Center",60684,489,1,0.11,91659,"Personal",0,"High_School","Married","Professional","YES"
755,"Male","36-50","Other","Urban_Center",66620,720,26,0.65,26969,"Car",0,"Bachelor","Divorced","Service","YES"
756,"Female","26-35","Caucasian","Suburban",44389,465,3,0.52,82835,"Personal",2,"High_School","Single","Manual","NO"
757,"Female","36-50","Hispanic","Rural",88064,648,1,0.5,81134,"Business",0,"High_School","Married","Professional","NO"
758,"Male","65+","Caucasian","Suburban",77927,697,26,0.69,20644,"Education",0,"Bachelor","Married","Service","NO"
759,"Female","51-65","Caucasian","Rural",66577,571,35,0.43,45505,"Education",0,"Bachelor","Married","Manual","NO"
760,"Female","26-35","Caucasian","Suburban",83908,800,38,0.53,81573,"Education",1,"PhD","Single","Professional","YES"
761,"Male","51-65","Caucasian","Rural",40557,672,22,0.67,43897,"Education",0,"Bachelor","Single","Manual","YES"
762,"Female","36-50","Caucasian","Suburban",86703,489,29,0.66,81338,"Education",0,"Bachelor","Married","Service","YES"
763,"Male","51-65","Caucasian","Suburban",69240,806,5,0.39,17584,"Car",0,"High_School","Married","Service","NO"
764,"Female","26-35","African_American","Suburban",75064,681,22,0.49,86312,"Car",1,"High_School","Married","Unemployed","NO"
